train_MSE,train_MAE,train_MAX_ERROR,train_EV,train_RMSE,test_MSE,test_MAE,test_MAX_ERROR,test_EV,test_RMSE,model
0.022419726114537866,0.11601198766634961,0.757989479158973,0.7077068158854255,0.14973218129225882,0.03471925936782006,0.14526229238007535,0.7374953169773153,0.5420764524847135,0.18633104778275697,LinearRegression
0.022928129729874857,0.11678515801060296,0.7312850937153976,0.7006496310575201,0.151420374223137,0.03210222766090057,0.13748583171662332,0.7349262199565423,0.5793249435546654,0.17917094535917527,LinearRegression
0.023020669448984905,0.11664125720028004,0.7139313512306311,0.7001123653612966,0.15172563873315842,0.03253787614689331,0.13955285803878203,0.6310981663187093,0.5691707508140216,0.18038258271488772,LinearRegression
0.02220823692446737,0.11534354087834356,0.7150274066061355,0.7082565869031929,0.14902428300269513,0.03608107432404273,0.14413570284810232,1.0520194107747778,0.5383166810647995,0.1899501890602974,LinearRegression
0.022659945550438675,0.11646745686334192,0.6335597223019254,0.7035894946721084,0.15053220768472997,0.03316173661233801,0.14074889802296908,0.8736967648869622,0.568889341856989,0.1821036425015656,LinearRegression
0.000831528618666673,0.005477914074146646,0.3593191275,0.9891590938091401,0.028836237942330013,0.07216894018840257,0.19702328766348776,1.0,0.048262354420374964,0.2686427743089372,DecisionTreeRegressor
0.0007278492589502954,0.005128876210115295,0.32276976200000007,0.9904971776255529,0.02697868156434438,0.07168420891441396,0.1958170374082652,1.0,0.06063956770972323,0.26773906871133685,DecisionTreeRegressor
0.0006278622449814647,0.004548454650425894,0.390573324,0.9918209101632038,0.025057179509702696,0.06953503998620394,0.19311099957583505,1.0,0.07966893915433937,0.2636949752767465,DecisionTreeRegressor
0.0006259959886839793,0.00452975867245883,0.323121373,0.9917764653292956,0.025019911844048916,0.07820492037828243,0.2081785005073847,1.0,-4.0691472525500316e-05,0.2796514265622159,DecisionTreeRegressor
0.000816079571211674,0.0054984052899205,0.390573324,0.9893250159162038,0.0285671064550065,0.07550398952733633,0.20251374260719154,1.0,0.017512738564444907,0.2747798928730709,DecisionTreeRegressor
0.005781201837658052,0.05809200160018788,0.3816047803449995,0.9246394724363434,0.07603421491445843,0.03728081294471904,0.14947743287571202,0.76905707853,0.5083876919624815,0.19308239936544977,RandomForestRegressor
0.005718433922959187,0.05814253552744055,0.358173209975,0.9253660931997675,0.07562032744546394,0.033635145621377274,0.14357526999256387,0.7494606205249998,0.5595600994678902,0.18339887028380866,RandomForestRegressor
0.005612294699931102,0.05808632734992803,0.39073310909200054,0.926900010684602,0.07491525011592168,0.03669981700784952,0.14866313581319907,0.73265477115,0.514982440854558,0.19157196300045976,RandomForestRegressor
0.0055292435668301415,0.057425420596317146,0.33516985954070255,0.9273774158667777,0.07435888357708272,0.03665273928365294,0.1485625176704256,0.7815170966375,0.5308807352774009,0.19144905140442178,RandomForestRegressor
0.005730159178777356,0.057870540957689856,0.40749721307025055,0.9250689468170106,0.0756978148877321,0.036152092082406564,0.1479853798669782,0.7298593007616666,0.5304979829527585,0.19013703501003312,RandomForestRegressor
0.007731967242987641,0.07696405075108421,0.6506692339395581,0.8994561987532956,0.08793160548396486,0.027168217508164522,0.12436739526085377,0.8500338930111473,0.6417130867720029,0.16482784202969025,SVR
0.007762805024958648,0.07734000425157302,0.6507806696250671,0.8988840204709648,0.08810678194644637,0.024949514571954535,0.11966436455681762,0.7708467050316822,0.6727980712503924,0.15795415338621058,SVR
0.007817828053967964,0.0774965604938482,0.6270813670421583,0.8983291121405012,0.0884184825359945,0.025170386640603896,0.12166071728432859,0.7312478736196867,0.6673308392789321,0.15865177793080007,SVR
0.007637225693611996,0.07664495707500545,0.5509898411784536,0.8998683744594611,0.08739122206269916,0.02744883273526544,0.12612872251044888,0.8985777965686952,0.6488098665027071,0.16567689258090715,SVR
0.007884055908906873,0.07766778747266784,0.5664685570886826,0.8971191921810622,0.08879220635228563,0.025232803010782484,0.1218993749320228,0.7852219816537782,0.6734077345457253,0.15884836483509196,SVR
0.07670287003938372,0.22822856451740034,0.6108428286430397,-2.220446049250313e-16,0.27695282998984455,0.07583330706051442,0.2267813261674749,0.6108428286430397,0.0,0.2753784796612009,Lasso
0.07659295631027098,0.22805111736003295,0.6091963555760778,-2.220446049250313e-16,0.27675432482667905,0.07629894602904382,0.22765030848285198,0.6091963555760778,0.0,0.2762226385165485,Lasso
0.07676431699733,0.2285587073948532,0.6134668445586031,0.0,0.2770637417586971,0.07560108940159761,0.22526395080016892,0.6134668445586031,0.0,0.27495652274786575,Lasso
0.07612249643867085,0.22699797849989872,0.6126475150204429,-2.220446049250313e-16,0.2759030562329291,0.07815740304229554,0.231560266623485,0.6126475150204429,0.0,0.2795664555026149,Lasso
0.07644784899027808,0.22777841048179523,0.6119061628730835,0.0,0.2764920414592038,0.07685061950204458,0.2284896196633867,0.6119061628730835,-2.220446049250313e-16,0.2772194428643932,Lasso
0.02242101952532249,0.11600596376053966,0.7584813380671122,0.7076899532728015,0.14973650031078758,0.0346298725676937,0.14506325475608786,0.738960964411029,0.5432554126011537,0.18609103301259225,Ridge
0.022929337073827275,0.11679345735377362,0.7319265218948964,0.7006338679376384,0.15142436089951733,0.032029689216989184,0.13732917172560055,0.7304917900757064,0.5802766946938331,0.17896840284527654,Ridge
0.023021847993160663,0.11663660145300174,0.7150172497518663,0.7000970126007712,0.1517295224837957,0.032454447992570745,0.1393909770250095,0.6288978514214149,0.5702752052342182,0.18015118093582053,Ridge
0.022209499899024366,0.11533657109267816,0.7153200704484688,0.7082399955587668,0.1490285204215098,0.035977625235387035,0.14393570346721468,1.0493557958204685,0.5396377795991245,0.18967768776370889,Ridge
0.0226612297028043,0.11645897548261082,0.6346964429266666,0.7035726969154339,0.15053647299842088,0.03307904876709017,0.14061010318484504,0.8727017926028716,0.56996286778851,0.1818764656768164,Ridge
